,Coefficient
phil_S_T,225.12625104340594
phil_R_K,218.4668111216594
phil_L_I,96.44459877570026
phil_F_W_Y,132.5145086443025
phil_M_C,51.6151733119982
phil_D_E,140.51842914027088
phil_N_Q,102.26140206423935
phil_A,73.41681580215824
phil_G,82.91230515238381
phil_V,16.822445401681996
phil_H,71.97658459346118
phil_P,64.7557858466524
phob_S_T,-5.10569639543508
phob_R_K,-11.10445131607999
phob_L_I,-37.285986163605884
phob_F_W_Y,-36.61127967456268
phob_M_C,-8.600723779580505
phob_D_E,-12.614525176603221
phob_N_Q,12.823718431051853
phob_A,-0.23065830531033887
phob_G,-17.495722179076694
phob_V,-16.26909449664788
phob_H,18.197839895709738
phob_P,-7.46554065701287
