LDA1,Category
2.381529873655058,2.0
-2.8698386900170805,1.0
2.324781409888849,2.0
-1.3778360344905942,1.0
2.5530607372985377,2.0
3.8757459751254872,2.0
-0.038248316778104856,1.0
-3.068768493303006,1.0
1.8494052543089992,2.0
-4.239601716131179,1.0
1.7751494465428757,2.0
3.0253794590935112,2.0
-2.0372106286728116,1.0
-2.638574962145134,1.0
-0.7531473785656762,1.0
-1.654458423956779,1.0
1.204541971737974,2.0
1.7334531827531923,2.0
2.29185335496224,2.0
-1.7747340616226377,1.0
-2.29402776547269,1.0
-0.07357730600115718,1.0
-0.6256175707333621,1.0
-0.7984959041794901,1.0
-2.488441407704764,1.0
0.9280180961178123,2.0
-1.2883943073629358,1.0
-1.2337119559243306,1.0
-0.6117716826735626,1.0
3.6351511159164387,2.0
-0.9032869220816304,1.0
2.296329249221546,2.0
-1.75740609848539,1.0
1.8139670949714615,2.0
0.8387834047083339,2.0
